id	en
Ibu sedang masak di dapur.	Mother is cooking in the kitchen.
Mary tidak punya teman bicara, tapi dia tidak merasa kesepian.	Mary has nobody to talk with, but she doesn't feel lonely.
Mary adalah gadis yang enak diajak bicara.	Mary is a girl who is pleasant to talk with.
Mary memutuskan untuk tidak akan menemuinya lagi.	Mary decided never to see him any more.
Apakah Mary sudah mulai?	Has Mary started yet?
Mary sangat suka susu.	Mary likes milk very much.
Mary belum mulai.	Mary has not started yet.
Mary gagal lagi. Meski begitu, dia masih muda.	Mary has failed again. After all she is still young.
Mary selalu membantu pacarnya mengerjakan tugas.	Mary always assists her boyfriend in doing his assignments.
Pesawat ini mampu menampung 40 orang penumpang sekali terbang.	This airplane is capable of carrying 40 passengers at a time.
Harga tanah di Jepang mahal sekali.	Land prices are very high in Japan.
Dilihat dari pesawat, pulau itu terlihat indah sekali.	Seen from the plane, the island looks very beautiful.
Pulau itu ada di Jepang sebelah selatan.	The island is to the south of Japan.
Pulau itu ada di Jepang sebelah barat.	The island lies to the west of Japan.
Pulau itu tertutup es dan salju selama musim dingin.	The island is covered with ice and snow during the winter.
Pulau itu ditemukan oleh siapa?	By whom was the island discovered?
Pulau itu dihantam topan.	The island was struck by the typhoon.
Pulau itu mudah dijangkau dengan perahu.	The island is easy to reach by boat.
Pulau itu bagaikan surga bagi anak-anak.	The island is a paradise for children.
Setiap jengkal pulau telah dijelajahi.	Every part of the island has been explored.
Pulau itu terletak dua mil dari pantai.	The island is about two miles off the coast.
Pulau itu terletak satu mil dari pantai.	The island lies a mile off the coast.
Pulau itu hangat sepanjang tahun.	The island is warm all year.
Pulau itu pernah diperintah Prancis.	That island was governed by France at one time.
Pada tahun 2030 dua puluh satu persen populasinya akan melebihi enam puluh lima.	By 2030, twenty-one percent of its population will be over sixty-five.
Pada tahun 2020, populasi kota ini akan dua kali lipat.	By the year 2020, the population of this city will have doubled.
Dua ratus orang meninggal karena kolera tahun lalu.	Two hundred people died of cholera last year.
Masalahnya adalah kita tidak punya cukup uang.	The problem is we don't have enough money.
Saya tahu dia tidak dapat bekerja lagi.	I know that he can no longer work.
Kita harus taat peraturan.	We must abide by the law.
Kopinya kurang.	There's not enough coffee.
Aku ingin minum kopi.	I would like to have a cup of coffee.
Ini adalah kali ke-2 naik pesawat.	This is my second experience flying on a plane.
Ini adalah pertama kali saya naik pesawat.	That was the first time I got on a plane.
Karena hanya satu menit, berharga hampir 4 pound.	Because just one minute costs nearly four pounds.
Saya menghadiri pesta hanya untuk bersosialisasi	I attended the party just to be sociable.
Anda jujur mengakui kesalahan Anda	You are honest to admit your mistake.
Tak ada hubungan antara mereka	There is no connection between them.
Lakukan, tapi sekarang !	Do it right now!
Menyiapkannya sekaligus.	Get it ready at once.
Mari kita selesaikan segera.	Let's finish it right away.
Lakukan sekaligus.	Do it at once.
Bhinneka Tunggal Ika.	Unity in diversity.
Perang datang dan pergi. Tapi prajuritku tetap abadi.	Wars come and go, but soldiers stay eternal.
Matang lebih baik.	Mature is better.
Iblis menggugat Tuhan.	The Devil sued God.
Tahu sebelum terjadi.	Know before going.
Baca musiknya, dengar fiksinya.	Read music, hear fiction.
Saya tidak mengetahui cara penggunaan komputer ini.	I don't know how to operate this computer.
Sangat penting baginya manakah dari keduanya yang lebih indah.	It was very important to her which was the more beautiful of the two.
Pria itu bukan hanya bisa berbahasa Inggris tapi juga Bahasa Jerman.	He can speak not only English but also German.
Tidak dapat dipungkiri keberaniannya patut dikagumi.	We could not but admire his courage.
Nancy tersenyum bahagia.	Nancy smiled happily.
Berapa harga dasi ini?	How much is this tie?
Opera apakah yang sedang dipertunjukkan di Lincoln Center saat ini?	What operas are being performed at the Lincoln Center right now?
Karena itulah dia tidak pergi belajar ke luar negeri.	That's why he did not go overseas to study.
Yang perlu Anda lakukan hanyalah menandatangani nama Anda di sini.	All you have to do is sign your name here.
Rapat tersebut ditunda hingga Jumat depan.	The meeting was put off until next Friday.
Dia telah mencoba berbagai cara melangsingkan badan.	She has tried various methods of slimming down.
Dia memberitahuku bahwa dia akan mengunjungi Nara bulan depan.	He told me that he would visit Nara next month.
Kurangi minum dan tidurlah lebih banyak.	Drink less and sleep more.
Kami dulu saling bertetangga.	We were next-door neighbors.
Pertanyaannya sesulit itu hingga tiada siapapun mampu menjawabnya.	So difficult was the question that no one could answer.
Kita banyak membuang waktu.	We waste a lot of time.
Terus jalan lurus hingga tiba di gereja tersebut.	Go straight ahead until you reach the church.
Tolong kirimkan surat ini pada kesempatan berikutnya ke kantor pos.	Please mail this letter on your next trip to the post office.
Kameraku tahan air.	My camera is waterproof.
Sudah berapa lama menunggu bus?	How long have you been waiting for the bus?
Saat ayahku pensiun nanti, dia sudah hampir 30 tahun bekerja.	By the time my father retires, he will have worked for almost thirty years.
Kereta tersebut terguling.	The train was overturned.
Biasanya saya bangun pada pukul enam.	I usually get up at six.
Seperti biasa, Tom terlambat datang ke kelas.	Tom was late for class, as is often the case.
Saya baik-baik saja, terima kasih.	I'm fine, thank you.
"Terima kasih. ""Sama-sama."""	"Thank you. ""You're welcome."""
Terima kasih banyak!	Thank you very much!
Nama saya Jack.	My name is Jack.
Selamat pagi, semuanya.	Good morning, everybody.
Selamat pagi, kata Tom sambil tersenyum.	Good morning, said Tom with a smile.
Tolong sampaikan salamku kepadanya.	Please say hello to her.
Dia meninggal dunia kemarin siang.	She died yesterday afternoon.
Kami berangkat besok siang.	We leave tomorrow afternoon.
Kapan ulang tahunmu?	When is your birthday?
Besok dia berulang tahun.	Tomorrow is her birthday.
Selamat ulang tahun, Muriel!	Happy birthday, Muiriel!
Aku suka lasagna.	I love lasagna.
Aku cinta kamu.	I love you.
Jaga dirimu sendiri.	Take care of yourself.
Saya tidak peduli.	I don't care.
"Di Amerika Utara, usaha umumnya berpegang pada prinsip ""pelanggan selalu benar""."	"In North America, business operates on ""the customer is always right"" principle."
Penemuan ini akan tercatat dalam sejarah.	This discovery will be recorded in history.
Aku adalah seorang laki-laki tanpa wanita	I'm a man without a woman.
Saya senang ketika saya membaca.	I am happiest when I am reading.
Dunia akan tersenyum bahagia tanpa diriku.	The world will smile happily without me.
Aku tidak dapat hidup tanpa sebuah TV.	I can't live without a TV.
Aku tidak dapat hidup tanpa kamu.	I can't live without you.
Aku tidak dapat membayangkan hidup tanpa kamu.	I can't imagine life without you.
Aku tidak dapat melakukannya tanpa bantuan dia(perempuan).	I can't do without her help.
Terbakar dengan cinta.	Burn with desire.
Meskipun dia telah tiada, aku tetap mencintainya lebih dari apapun juga.	Although she is gone, I still love her more than anything.
Meskipun dia telah tiada, aku tetap mencintainya lebih dari apapun juga.	Although he is gone, I still love him more than everything.
Cinta adalah misteri dan penderitaan tanpa batas waktu.	Love is mystery and misery indefinitely.
Aku akan memakan kamu anak kecil.	I will devour you little girl.
Memberi lebih baik daripada diberi.	It's better to give than to receive.
Cinta yang tulus adalah cinta yang tanpa paksaan.	An unconditional love is love without coercion.
Ada gula, ada semut.	Where there is smoke, there is fire.
Ada gula, ada semut.	Sugar draws ants.
Saya mencoba menjelaskan kepada dia bahwa kami tidak bertanggung jawab atas kesalahannya namun ia menolak mendengar.	I tried to explain to him that we were not responsible for his mistake, but he refused to listen.
Buku tua ini bernilai 50.000 yen.	This old book is worth 50,000 yen.
Pria ini benar-benar sangat tua.	This man is very, very old.
Aku memanggil namamu.	I call your name.
Setahu aku, museum itu tutup setiap hari Senin.	I understand the museum is closed on Mondays.
Ranjang ini tampak kokoh.	This bed looks solid.
Kucing yang hilang tersebut masih belum ditemukan.	The missing cat has not been found yet.
Bosku dipaksa mengundurkan diri.	My boss was forced to resign.
Gaya hidup dan keseimbangan makanan yang teratur adalah kunci bagi hidup sehat.	An orderly lifestyle and a regular diet are the keys to health.
5 tambah 2, hasilnya 7.	Add 5 and 2, and you get 7.
Ibunya mengkhawatirkan anaknya.	His mother is worried about him.
Saya lebih memilih berpergian dengan mobil.	I prefer to travel in my car.
Hari ini berawan dan kemungkinan hujan, jadi kita lebih baik tidak pergi berselancar.	Since it's cloudy with a chance of rain today, we shouldn't go surfing.
Sungguh terima kasih atas bantuannya.	I cannot thank you enough for your assistance.
Sikapnya padaku berbeda dari biasanya.	Her behaviour towards me was a departure from the norm.
Saya tidak bisa menyetujui proyek ini. Masih banyak hal yang tidak memuaskan.	I can't approve the project. It leaves much to be desired.
Kyoto terkenal dengan kuil dan viharanya.	Kyoto is famous for its shrines and temples.
Dapatkah Anda membantu saya mencarikan rumah dengan sebuah taman kecil?	Could you find me a house that has a small garden?
