,input,label,predicted
0,Saya berhasil mendapatkan pekerjaan berkat dia.,"thisissos Thanks to him, I was able to find a job. thisiseos",i working to get with another job
1,Apakah di sini salju turun dengan deras saat musim dingin?,thisissos Does it snow a lot here in the winter? thisiseos,does it rain much its been hard
2,Buku-buku ini bukan hanya untuk anak-anak.,thisissos These books aren't just for children. thisiseos,this books are not only a child not these books are a children not i really so the children not not this books for just these not that this are just these books are bad this books for children are not make children dont to make children are built for my children this are the children not of children so these books to make children not really all this books are all this books are my children not so tired of children not really not really all this books are my children not really bad this books that children not called these books are all this coffee this books are my children not really bad this books are all this books that children not so tired of children not only these coffee this books are made not really all this books are my children not so what i really not sick this coffee this books are our books are a child this books are a child not sick of children dont make children not i am not want to children not really these books are all this books are my children not only by children so tired of children he wanted to make children not make children not not only these children not only these coffee this books are the children not
3,Tom terkejut mengetahui Mary memiliki sepeda motor.,thisissos Tom was surprised Mary had a motorcycle. thisiseos,tom was surprised after mary had a couldnt traffic jam to the traffic jam
4,Apa suasana hatimu sedang buruk?,thisissos Are you in a bad mood? thisiseos,what are you change his right
5,Dia bernyanyi dengan gitar.,thisissos She is singing with a guitar. thisiseos,he knows the guitar
6,Aku muak dengan hal itu.,thisissos I'm sick of it. thisiseos,im sick of it
7,Kita akan diselamatkan.,thisissos We're going to be rescued. thisiseos,well be her
8,Dia secara langsung memintaku untuk membantunya.,thisissos He asked me point-blank to help him. thisiseos,he loves to ask for her name but he asked her help him to help her to help him he made him to be asked with her still not theyre its high to help her name for me to be sure with ask her to be completely wrong with her with her name to help her help her name ask her name ask her to help her to help her name ask her name ask her name ask her help her way to be able to help her name if he asked her name if he asked you high school she asked you with her help her name ask her help her name ask her name asked with her name if he asked her help her help her name wrong with her help her name party if he asked you asked with her name ask her help her help her help her help her name asked with her help her help her help her help her name way to be sure to be sure to be completely wrong with her help her help her help her way to be sure she asked you high i asked you high me to be asked you ask her help her name her name ask her help her name way to be sure she asked with
9,Tom terlihat sedikit berbahaya.,thisissos Tom seems a little dangerous. thisiseos,tom looks a bit dangerous
10,Aku tidak peduli apa yang terjadi.,thisissos I don't care what happens. thisiseos,i dont care any more
11,Mary belum mulai.,thisissos Mary has not started yet. thisiseos,mary havent started yet yet havent started yet yet ive finished right yet
12,Bagaimana jika Tom tidak kembali?,thisissos What if Tom doesn't come back? thisiseos,how long dont speak back
13,Besok aku akan mengerjakan laporanku seharian.,thisissos I'll be working on my report all day tomorrow. thisiseos,tomorrow i will do this day as come for about as much day as good as for these days as good day by night
14,Sungai itu meluap dengan cepat karena hujan deras.,thisissos The river swelled rapidly because of the heavy rain. thisiseos,this river through the river because it is raining he looks not raining that rain he makes rain because it also this hard either dont rain not rain because it also often that rain to rain dont because it because it is rain the rain this hot try it the rain dont want to rain hurry much it it rain hurry it rain hurry it the rain by rain dont want to rain more rain it its rain dont rain more rain more rain more rain it also this rain this hot because it also this rain it also because it rain hurry that rain hurry like rain more rain it weather this hot because it its rain it also this hot because it it also this hot it rain dont rain hurry it its rain try it also this river because it also this hot because it also this hot because it also often it rain it also this rain dont rain hurry it also this hot it also this hot it also this hot it its rain this hot because it also this hot rain hurry more rain it also this hot because it also this light it rain dont want rain hurry it also it can rain he this hot because it its rain it its rain this hot
15,Kau ingin pergi ke mana?,thisissos Where would you like to go? thisiseos,where do you want to go to go
16,"Meski dengan resiko pembedahan yang signifikan dan potensi efek jangka panjang, histerektomi seringkali dilakukan untuk kondisi yang parah.","thisissos Despite significant surgical risks and potential long-term effects, hysterectomies are often performed for benign conditions. thisiseos",when even though the same id like an talk with your way from the time as much expensive talk and right way to be doing in the may talk to be like the first time who was with your wish the same even job to be doing ill be very much and such as my first time and such as much better as will have about your first free who did much times has been a little job in the same problem and such as the same thing as much job
17,Apakah kamu siswa dari Jepang?,thisissos Are you a Japanese student? thisiseos,do you like a japanese student from japan youre still people
18,saya ingin tahu alasannya,thisissos I'd like to know the reason. thisiseos,i want to know for the reason of the reason of reason to know the reason i want to know for of the reason to see him of reason i really want to know for the reason of the reason i want of the reason want to know for the reason want to know for the reason of reason of reason of reason of the reason of the reason of reason of reason of reason of reason i want to know for the reason i know for sure of reason of reason of reason i know to know for the reason of reason of reason of the reason i know for the reason of reason of the reason i really sure of reason i want to know for the reason i really want to know the reason of reason of reason i want to know the reason of reason i really want to know the reason i want to know the reason i want to know for the reason i want to know for the reason of the reason know for the reason of reason i reason want to know the reason to know for the reason of the reason i reason know the reason of reason of reason i really about for the reason of reason i want to know the
19,Satu meter itu seratus sentimeter.,thisissos A meter is one hundred centimeters. thisiseos,one that was missed the end of the end of two different understand the end of things not famous minutes
20,Ada apa?,thisissos What is going on? thisiseos,whats up
21,Apakah ini konferensi pertamamu di Paris?,thisissos Is this your first conference in Paris? thisiseos,can this eat your favorite money in paris
22,Gunung berapi ini adalah salah satu dari 120 gunung berapi aktif di Indonesia.,thisissos The volcano is one of 120 active volcanoes in Indonesia. thisiseos,the had problem has on one of right give anyone from have am wife am indonesia from look in have right from could come his give life than have this have wife must have am work of kind of things look into right go feel have the just between right give have have am work from have of his made life his had give feel feel eat try go feel eat try from look in have try from look into right give eat go feel got am into right give look into right give eat try than right his had am into right give about look into right his had give eat am into right give eat am into right go look into right go look into right give am into right go look from look into right give eat am into right give eat am tell right give life of his had am into right give am into right give feel got eat am into right give feel got am into right go look into right between right give eat am eat am into right give look into right give eat am am am into right give look am into right give look from look from look eat am into right life than this have favorite look into right go look
23,Aku lebih tua dari murid-murid lain di kelasku.,thisissos I'm older than any other student in my class. thisiseos,im more than old age than another today
24,Aku muak dengan semua hal dan semua orang.,thisissos I'm fed up with everything and everybody. thisiseos,im sick of all of that do that of this
25,Rumah itu sangat kecil.,thisissos That house is very small. thisiseos,that house is very small in the small house is very small is very small that is very small that small it is very small in a small house that small house that our house  very very that very very a small a a very a very very the very very a very a a very very very home very our our his very of home very that was very our of of very of very of very small our very home very very of very of to of our very that our the small our of small our small home our small of the small our home home that home house home home small the house small home home small house the house small the small home of home home small house home house small home home small house house home house house house small small house house the child house home home home house house small the small house house house the house home house house the small small house small house house house house home house house class house house house house house house house that home is house small small class small house home home house home house house house house house is home house small the small is house the house small house class house is
26,Aku tidak mencurinya. Aku hanya meminjamnya untuk selamanya.,thisissos I didn't steal it. I just borrowed it permanently. thisiseos,i dont worry about when i am tired wish to make sorry i really must forget not what i have only with my well not change sorry i have no may not make about my wish to tell my wish about the may getting sick really hard toms may sick all must forget to make all really important i really must forget with my well about my well i had my well wish with my may have the may try wish i wish with my may not make just ran just ran just ran just ran just ran just ran just ran just enough my may i really well trust me have only food trust what have the same trust what have just ran just ran just had not telling the same idea about my well bad what may have the same idea about my well bad today i wish about just where i really enough your may not worry about my may not telling the same trust what my well not make about my well bad today as bad today as all getting trust what my may not make almost ran just ran just ran about my may he must not trust me have what my may not trust what my may bad my may not trust what my wish with
27,"Pasangan itu telah berpisah, tidak pernah bertemu lagi.","thisissos The couple separated, never to see each other again. thisiseos",the student didnt have never heard any more only again
28,Jadilah kuat seperti karang.,thisissos Be strong like a rock. thisiseos,be it like someone as my close to understand your friend
29,Aku menemukan dompetku yang hilang.,thisissos I found my lost wallet. thisiseos,i have ever found for my try and tired of books i lost my lost have been lost anything since ive lost who can lost looking found seen ive lost ive lost his job from a little since ive lost tired of know that i lost his cat who i lost have been called weve been lost my try this really lost my try ive lost my try try ive lost his try since tired of my try try try try i lost my try since seen him and lost tired of my try since lost his try try try who have been lost my try since tired who found lost my try whos lost all since tired who found tired who found waiting really try seen an lost my try try and lost his dad and lost his try since tired who found lost my try try i lost his dad and lost my try since lost looking found lost my try ive lost his dad found tired who have lost my try since tired who have lost his try try since lost my try try try since seen who got really tired of tired of my try try and seen my try only wait try try and seen an lost my try this and lost my try tired who have
30,"Pengetahuan itu bukan apa-apa, tetapi imaginasi adalah segalanya.",thisissos Knowing is nothing. Imagination is everything. thisiseos,that down is nothing but such was everything but all
31,Novel barunya akan terbit bulan depan.,thisissos His new novel will come out next month. thisiseos,novel will be the time next month
32,Karena aku tidak berpendapat bahwa semua orang akan mempercayai wanita mati.,thisissos Because I don't think people would believe a dead woman. thisiseos,because i didnt mean that her people do that women are dead together again
33,Itu planet kami.,thisissos That's our planet. thisiseos,it was our high our high our two years old two years old two years old two years
34,Kakakmu akan menunjukkannya padamu.,thisissos Your big sis will show you. thisiseos,my brother is it is more please give you your brother
35,Aku sudah lama menantikan hal ini.,thisissos I've been looking forward to this. thisiseos,ive been a long time
36,Kenapa kau tidak pernah mencuci piring-piringnya?,thisissos Why don't you ever wash the dishes? thisiseos,why dont you have me more number
37,Pesawat ini sangat jelek.,thisissos That plane is so ugly. thisiseos,this plane really will need really
38,Ini tidak menyenangkan.,thisissos This is not fun. thisiseos,this isnt fun of it is it isnt fun this isnt fun this isnt fun this isnt fun this it isnt fun this is no fun it fun it isnt fun this isnt it is it isnt fun it isnt fun it isnt fun it fun this isnt fun of it isnt fun it fun this isnt fun it isnt fun this isnt fun it fun this fun this isnt fun of it isnt fun this isnt fun this fun isnt fun this isnt it isnt fun this isnt fun fun this isnt fun this isnt fun it isnt fun this isnt fun this isnt fun this fun this isnt fun this isnt fun this isnt fun this isnt fun it isnt fun it isnt fun this isnt fun this isnt fun this isnt fun this fun this isnt fun this isnt fun it isnt fun this isnt fun it fun it is it isnt fun this isnt fun this isnt fun of it isnt fun this isnt fun it isnt fun it isnt fun this isnt fun this isnt fun this isnt fun this isnt fun this isnt fun this fun this isnt fun it fun this isnt fun this isnt fun this isnt fun it isnt fun this isnt fun it fun this isnt fun it isnt fun this isnt
39,Pesawat itu tiba tepat waktu.,thisissos The plane arrived on time. thisiseos,the plane arrived on time
40,Berapa banyak uang yang kamu inginkan?,thisissos How much money do you want? thisiseos,how many money do you want
41,Pada hari libur lalu-lintas merayap sepanjang jalan raya.,thisissos The holiday traffic crawled along the highway. thisiseos,by day the traffic accident they have the street
42,Oke.,thisissos Gotcha. thisiseos,thats ok ok ok ok ok ok ok ok ok ok ok ok ok ok thats ok ok ok ok ok ok ok ok no ok ok ok ok ok ok ok thats ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok thats ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok thats ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok thats ok ok ok ok ok ok ok ok ok ok ok ok ok thats ok ok ok ok ok ok ok thats ok ok ok ok ok ok thats ok ok ok ok ok ok ok ok ok ok ok thats ok thats ok ok ok ok thats ok ok ok ok ok ok ok ok thats ok ok ok ok ok thats ok ok ok ok ok ok ok ok ok ok ok ok ok thats ok ok ok
43,Aku merasa bodoh.,thisissos I felt dumb. thisiseos,im not might not change it am
44,Saya lapar karena saya tidak sarapan.,thisissos I am hungry because I did not have breakfast. thisiseos,i am hungry because i wasnt breakfast
45,Bagilah ini di antara kalian.,thisissos Divide this among yourselves. thisiseos,these in have between you and between have between the all between you and between have between these between you and and between here and between you and between have and between have we house
46,Tom terlihat seperti sedang mencari seseorang.,thisissos Tom seems to be looking for someone. thisiseos,tom looks like looking like someone
47,Tom juga berpikiran sama.,thisissos Tom thinks the same way. thisiseos,tom also thought mary was the same thing
48,Tom sangat tua.,thisissos Tom is very old. thisiseos,tom is very old
49,Singkirkan meja ini.,thisissos Take this table away. thisiseos,this put on the desk is this desk is toms different with this desk is toms different this desk is this novel has
50,Sepertinya itu tidak terlalu sulit.,thisissos That doesn't seem too difficult. thisiseos,it doesnt think very hard
51,Jupiter adalah sebuah planet.,thisissos Jupiter is a planet. thisiseos,here is a this high eat
52,Mari kita menunggu hujannya berhenti.,thisissos Let's wait for the rain to stop. thisiseos,lets see us rain
53,Pria itu mengendarai mobil.,thisissos That man is driving a car. thisiseos,the man missed the car drive for a car old man to drive that car drive for young car drive a car to car to drive a car that car drive that car drive for toms car drive it
54,Kau bisa meninggalkan tasmu di sini.,thisissos You may leave your bag here. thisiseos,you can leave you here here
55,Aku tidak tahu apa yang Tom katakan pada Mary.,thisissos I have no idea what Tom said to Mary. thisiseos,i dont know what she has said
56,Semua orang pernah melakukan kesalahan.,thisissos Everyone makes mistakes. thisiseos,everybody left and doing the right
57,Bolehkah aku pergi bermain?,thisissos May I go out to play? thisiseos,can i go playing playing playing now
58,Boston itu di mana?,thisissos Where's Boston? thisiseos,where did that boston
59,Mereka semua bersalah.,thisissos They were all guilty. thisiseos,they are all guilty
60,Bisakah Anda membantu saya?,thisissos Could you please do me a favor? thisiseos,can you help me im me
61,Saya tidak peduli.,thisissos I don't care. thisiseos,i dont care i dont care
62,Ada banyak rumah besar di sepanjang jalan itu.,thisissos There are large houses along the street. thisiseos,there are many house in our house there all street
63,Aku bisa memberitahukanmu yang Tom pikirkan.,thisissos I can tell you what Tom thinks. thisiseos,i can make it really think
64,Semua orang tahu darimana asalku.,thisissos Everybody knows that where I come from. thisiseos,everyone knows that his important number he knows your idea about someone knows your idea number knows what he has their important else knows everything he knows the other try theyre knows the job is know for sure your important number really knows your important mean much whos really does try and really knows your important number of would really knows your important knew their mind really about marys wrong idea about their mind looking knows your important number he knows your life looks looking knows what he knows your important knew about would say theyre really does he knows your important number boston does try theyre telling the matter everything he knows your idea about their mind looking knows your idea his mind really school about what he does the matter knows your idea has their mind knows what he does he knows your important number he knows what she knows your important number knew everyone knew about marys thanks for their mind try thanks for their mind knows your important number knew their mind try beautiful number he knows your idea has their mind getting really does her family doesnt know what he knows your important number she knows your idea about their mind looking knows their mind really does her family doesnt know what she knows your life knew
65,Aku harus mengerjakan pekerjaan rumahku dan bukannya pergi keluar.,thisissos I have to do my homework instead of going out. thisiseos,i have to do my house and hurt out as much of name is went out as much of my house and with my homework and going out of my house can get out of toms come out of anything from outside can come out of homework can come out as you been out of my house and hurt my house can get out of around here and come out as much as much as long come out of marys wife do bad house can come out of name can get out of house can come out of name can come out of name has been out of matter how about your house and hurt around my house can get out as much food can get out of food can get out of food can come out of house can get out of my house  do around and do around you mary and what do here to going going out do do for been school around been if do around do do even and going here do than away do and my do get come through been do has do come and even even outside to do do do come come
66,Itu ada di bawah kursi.,thisissos It is under the chair. thisiseos,it was on the weather was different
67,Apa saja yang kamu lakukan minggu ini?,thisissos What have you done this week? thisiseos,what have you been doing this week
68,Tolong ambilkan aku garamnya.,"thisissos Pass me the salt, please. thisiseos",please bring me to me help me
69,Tom menang.,thisissos Tom won. thisiseos,tom win for win for win for win for win for win for win for win for win tom win for win for win for win tom win day tom win tom win for win for win for win for win for win for win day
70,Perhatian!,thisissos Attention! thisiseos,its attention to what time do it is attention to what time who do they change his attention to give up do it attention to do attention pay do it attention everybody pay do time everybody pay attention it attention attention attention everybody do attention attention attention everybody attention everybody attention everybody attention to what time who do attention to do attention everybody do everybody attention everybody do attention everybody attention to what time everybody do everybody attention to do attention everybody attention everybody do everybody do everybody do everybody do everybody do everybody else the attention it attention attention everybody do everybody do attention everybody attention everybody else attention everybody attention everybody attention to what time attention everybody do everybody do everybody do everybody attention everybody do everybody do everybody else attention to do attention everybody do everybody do everybody attention everybody do everybody do attention everybody do everybody else attention everybody else everybody attention its attention everybody pay do attention to what time everybody attention everybody attention everybody pay attention everybody attention everybody attention everybody do everybody attention it attention to what time everybody attention everybody do everybody do attention to what time attention everybody do everybody attention everybody attention everybody do everybody do attention attention to what time everybody do attention to do everybody do everybody attention everybody pay
71,Aku harus belajar.,thisissos I must study. thisiseos,ive got to study learning ive study learning need to study study study study learning need to study need to study
72,Kamu belum siap.,thisissos You're not ready yet. thisiseos,are you not ready yet
73,Hobiku bermain piano.,thisissos My hobby is playing the piano. thisiseos,my hobby is playing the piano on its on playing the piano into playing the piano at the piano is playing the piano hobby is playing the piano is playing the piano at the piano at the piano is playing the piano and playing to playing the piano on the piano is playing the piano is playing the piano at the piano and playing the piano at the piano is playing the piano is playing the piano and playing the piano is playing the piano into playing the piano now isnt playing the piano is playing the piano but playing the piano into playing the piano is playing the piano but playing the piano into playing the piano at the piano into playing the piano at the piano is playing the piano is playing the piano is playing the piano but playing the piano now isnt playing the piano now im playing the piano is playing the piano at the piano is playing the piano at the piano now im playing the piano but playing the piano is playing the piano now today into playing the piano is playing the piano is playing the piano is playing the piano and playing the piano at the piano is playing the piano is playing the piano but now isnt playing the piano is playing
74,Tom sering membuat kesalahan.,thisissos Tom often makes mistakes. thisiseos,tom often make our mistake has made a mistake made a mistake
75,Ini anjing paling lucu sedunia.,thisissos It's the funniest dog in the world. thisiseos,this is most rice at least anyone this watch
76,Loe lagi ngeliatin apaan sih?,thisissos What are you looking at? thisiseos,what time does your raining do not try it again
77,Kamu pikir kamu ini siapa?,thisissos Who in the world do you think you are? thisiseos,who do you think you want to be doing who do who do you think you think
78,Rumah mana yang kamu tinggali?,thisissos Which house did you live in? thisiseos,where have you a job
79,Aku suka terung.,thisissos I love eggplant. thisiseos,i love france
80,Dia orangnya pendiam.,thisissos He is a quiet man. thisiseos,she she tried her important
81,"Ibu, di mana Ayah?","thisissos Mum, where's Dad? thisiseos",mother is the dad which father
82,Selamat datang di Tatoeba.,thisissos Welcome to Tatoeba! thisiseos,welcome to come tatoeba
83,Teksnya tidak terbaca.,thisissos The text is illegible. thisiseos,your mind does not try to thanks for your job
84,Beri tahu aku sesuatu yang belum kuketahui.,thisissos Tell me something I don't already know. thisiseos,tell me everything that i dont want to need anything
85,Itu tidak akan terjadi.,thisissos That won't happen. thisiseos,it wont go
86,Tom tahu persis apa yang ada dibalik semua ini.,thisissos Tom knows exactly what this is all about. thisiseos,tom knows the matter what youre the everything
87,Tom mendapatkan uang itu semua dari mana?,thisissos Where did Tom get all that money from? thisiseos,tom got money
88,Tom harus pergi berbelanja dengan ibunya siang ini.,thisissos Tom has to go shopping with his mother this afternoon. thisiseos,tom has to go with his mother this day this afternoon
89,Aku tak mau lagi mendengar keluh kesahmu!,thisissos I don’t want to hear you complain! thisiseos,i dont want to hear any more about your bus tell me more about your food else ill say id like what you say no longer
90,Kamu harus tetap bangun.,thisissos You need to stay awake. thisiseos,you need to get up at up
91,Bisakah Tom bermain piano?,thisissos Can Tom play the piano? thisiseos,can tom playing the piano at our piano on today can playing the piano after playing the piano i must playing the piano can hurry on for playing the piano can
92,Ini adalah kisah sebenarnya dari Fadil Sadiq.,thisissos This is the true story of Fadil Sadiq. thisiseos,this is the truth from of your school about finished your school your school tried his same your tomorrow of school about your tomorrow
93,Dia cantik kalau kamu melihatnya dari jauh.,"thisissos If you see her from a distance, she is beautiful. thisiseos",she was a beautiful if you one city of our money as far from the one its far from the one of her if you were far from tell me of her to see saw an beautiful from the one one city tell you into the one one of our you really beautiful from the one city of far as you one since ive been one ill seen as you one lot of his one long when he was far from the one beautiful from the one city one money that you one lot of his one time he had far from the one lot of his one ill see the one time he had far from the one lot of his way from the one lot of his one lot of his way from the one money that far from the one one ill see the one ill one ill see the one ill see the one money if you one city one city one time he had ever see saw her one ill see the one lot of his way from the one ill see the one who would you one beautiful from one of one you one long as you one lot of his one lot of his way to see saw he had far as much from one
94,Tom tidak mendapat tidur yang cukup.,thisissos Tom doesn't get enough sleep. thisiseos,tom doesnt get to sleep enough
95,Dia punya tiga kakak perempuan.,thisissos He has three elder sisters. thisiseos,he has three brother
96,Bacalah buku ini.,thisissos Read this book. thisiseos,this book is this book this book is this book this book this book this book is this book this book this book this book this book this book this book is this book is this book this book this book this book this book this book has read this book this book this book this book this book has this book this book is this book is this book is this book this book this book this book this book this book this book this book this book is this book this book is this book is this book this book this book this book this book this book this book this book is this book this book is this book this book this book this book is this book this book this book this book this book this book this book this book is this book this book this book is this book this book has read this book is this book this book is this book is this book this book this book this book this book this book this book this book this book this book this book this book this book this book this book is this book this book is this book this book this book this book is this book this book this book is
97,Sekarang bukanlah waktu yang tepat.,thisissos Now isn't a very good time. thisiseos,now isnt the right time
98,Apa kau mau apel lagi?,thisissos Would you like another apple? thisiseos,do you want to give me more about anything else
99,Kami telah melakukan yang kami bisa.,thisissos We've done what we could. thisiseos,we can do what we can
100,Ini pertama kalinya dia tinggal di rumahnya sendiri.,thisissos It's the first time that he's living in his own house. thisiseos,this is first he lives in his own house
101,Apakah Anda banyak melakukan perjalanan?,thisissos Do you travel a lot? thisiseos,can you have a way
102,Aku ingin pergi ke sana.,thisissos I wanted to go there. thisiseos,i want to go there
103,Banyak waktu dan biaya telah dihabiskan untuk membuat mesin itu.,thisissos It took a lot of time and money to build the machine. thisiseos,many time and the two different than get the not people do that not made the just made that by the game does not more expensive today and we are and high more between made the use of the not make the game and to make the just made the game are the game of the game of just made a please so the just make just about just made a on the just made the just the game are the game much more get made a please make the just made the game much more get to make the just made the just want of the just made a on the game much more between the just makes people and the game two different two years old use of the just made the just made a on the game much rice for the just makes the just their just the just made a please make just the game much more expensive time much more expensive place their just made the game much more expensive time of the game much rice away of just come the just made a game much rice would their just made the game much more kind of that feel the just made the just the just made the game much more get the just made the class
104,Saya tidak suka menggunakan Google-Terjemahan.,thisissos I don't like to use Google Translator. thisiseos,i dont like to use has may
105,Itu tidak mungkin.,thisissos It's impossible. thisiseos,it isnt possible
106,Kamu punya alasan tepat untuk marah.,thisissos You have good reason to be angry. thisiseos,you have a reason to be angry for angry
107,Siapa yang menelepon Ann?,thisissos Who called Ann? thisiseos,who found him found
108,Filmnya akan mulai pada pukul sepuluh.,thisissos The movie starts at ten o'clock. thisiseos,this movie will start at ten oclock
109,Apa aku sedang berhalusinasi?,thisissos Am I imagining things? thisiseos,did i feel of your living
110,Beruang makan segalanya.,thisissos Bears eat everything. thisiseos,marys this summer is everything ok to eat everything telling eating everything ok to eat sleep everything
111,Aku tidak tahu apakah Tom atau saudara laki-lakinya,thisissos I don't know either Tom or his brother. thisiseos,i dont know if tom is more john or his son or not a little after her parents tom is his son or not knows if toms little or not tom is her son ill go or not with that little after my son or not his son or his son doesnt he knows if toms with my son going or my son did or his son for my son wont be his son or not sure or not going or not talk with my son or his son going with my son wont be his son is his son or not sure or not know if her son going french true if toms little is his son going on his son or not know if toms going with my son wont busy or his son likes if toms little about his son wont be my son me did french up or not know if toms little is his son me john and her son me john likes my son ill be his son wont be my son or not know or not talk about her english and his son going his english and his son or not sure ill be able to be his son is his son true true or not know if toms son me hell be my son
112,Aku tidak berpikir kalau Tom akan ada di sekolah besok.,thisissos I don't think Tom will be at school tomorrow. thisiseos,i dont think ill be able to be at school tomorrow
113,Adikku berenang dengan baik.,thisissos My brother swims well. thisiseos,my brother is well with the little brother swim
114,Apa yang terjadi bukanlah kesalahan Tom.,thisissos What happened wasn't Tom's fault. thisiseos,whats happened tom isnt a mistake
115,Ini adalah pelanggaran jelas terhadap hak-hakku menurut konstitusi negara ini.,thisissos This is an obvious violation of my rights according to the constitution of this country. thisiseos,this is the matter ill what this mean its about what this beautiful country with this beautiful country about what this country with here about such really mean its happened their different almost this country with this beautiful this country this beautiful country with this beautiful country really mean its such about what this beautiful country about do would have really mean country with this beautiful country by wrong two birds really mean its mr which this beautiful country with this beautiful country in what this beautiful country really happen these their have does this beautiful country this beautiful country this beautiful country this beautiful country really mean country this beautiful country with this beautiful country this country about open on what this beautiful country this country about open what this beautiful country this beautiful country this country about open this beautiful country really mean country with this beautiful country this beautiful country with this beautiful country really mean its such about finished what this beautiful country with this beautiful country in what this beautiful country this beautiful country this beautiful country this beautiful country about finished mean its what this beautiful country with this beautiful country this beautiful country really mean its such an end about open such an end about what this country this beautiful country this country this country
116,Hubungi 1-800-828-6322 untuk gratis brosur.,thisissos Call 1-800-828-6322 for a free brochure. thisiseos,call me to change toms the his mind really the the the the the the by what want for free time for free life for free time he would have the said call for free time for free life for free which hes really which am call want to change his mind really want for free life for by free for free time for free to change his the his mind mean he want to change his mind want to change his mind really is said hes lost his the which is said hes lost his the the the by free which six the which six the which six oclock which six oclock
117,Masalahnya saya tidak punya uang.,thisissos The trouble is that I have no money with me. thisiseos,this problem i have no money
118,Tomlah yang terkuat.,thisissos Tom is the strongest. thisiseos,tom is what a got able to be found the got the got got got what she it a got found tom train said she
119,Aku mencuci kaus kakiku.,thisissos I wash my socks. thisiseos,i please show for found me she found me through my found i
120,Bolehkah aku berlari bersamamu?,thisissos May I run with you? thisiseos,can i run with you can you get you and he can just he can trust me with you he can run with you run with you and he can run trust i run with you run with you can trust me and with you run with you can trust me may not run with you can run with you run with you can run with you run with you run with you run with you run with you run with you can run with you can trust me between any of you can run with you run with you can run with you run with you run with you and until you can run with you can run with you run with you run
121,Aku tidak memercayai dia.,thisissos I don't trust her. thisiseos,i dont believe him
122,Apa yang membuatmu melakukan ini?,thisissos What made you do this? thisiseos,what did you do this
123,Ayah menceritakan padaku pengalaman-pengalamannya selama masa perang.,thisissos My father told me about his experiences during the war. thisiseos,my dad made for what he will take care of the war next monday for of the war ill of the war of the war with sorry for of the war might to war made a lot to war for the war ill try to get to get to war ill have been telling the war busy of the war for the war who that ill try to war ill are probably getting sick for the war ill try during the war ill try for the war ill try ill try and he will take care that ill try that ill try as bad what to war ill try so ill try who took the war ill try ill try thanks for the war ill try that ill try and he will have been telling the war ill try ill try and he will take a war ill try ill try and he will have ill take her war ill try ill take care to war ill take care that ill try ill take care to war ill try ill try ill try ill try and war ill take care to war ill of the war ill try and war have ill try these days  that that to that over the what ill that ill war ill war an war that
124,Tom memotong pisang itu dengan pisau.,thisissos Tom sliced the banana with a knife. thisiseos,tom cut being do it with the knife that tom turned knife
125,Diamlah!,thisissos Shut up! thisiseos,let her job who let him have says tell your mind says your mind has let her mind says your mind says your mind says talk with mr job sometimes mr which sometimes mind says have says has close says your mind your mind says tell mr does your mind says really does your mind says have does your mind says tell mr which does your mind says have does your mind says have does your mind has let has let has thanks says have does your mind has let has let has let has let has close mind has thanks mind says your mind your mind your mind has thanks change her mind says your mind says have does your mind says your mind your mind says your mind says have does your mind has thanks change her mind your mind does your mind says your mind says your mind has let has thanks mind says tell has let has let has let has let her mind your mind has thanks mind your mind your mind has thanks says your mind your mind your mind your mind does your mind has thanks mind has let has thanks says your mind has thanks says your mind your mind says your mind your mind says your mind says your mind says your mind
126,Dia punya kepribadian yang ceria.,thisissos She has a cheerful personality. thisiseos,he has a really the your family doesnt have white
127,Bahkan banyak orang yang tertular yang tidak merasakan gejala apapun.,thisissos Many infected people don't even feel sick. thisiseos,even many people even agree way you think about anything else could
128,Mengetik SMS selagi Anda mengemudi bisa membahayakan keselamatan Anda.,thisissos It's not safe to text while you drive. thisiseos,able to let you took a good try by your has can let you the your has a your has an old mind hard ill have family do other just let by your has well let by has their mind your has can have the let your let have the bus can have you have the your let which has can make your has toms your let about your good well let her your good let you have took a your good for your let has can change your let your let has can make your let you have four family you have bus let your let your has can make her family let has can have you have you have an old your let your let her your let her your has can have you have next not next your good well help your let have life his your has can change his your good well let has an your good for your let you have four family work has found family work has can have toms your let your let her your let your has can have an your let her your let has an old your good for your let has can change her your let your let your let your let your has an has can make has
